ATL,2005
11,Joe Alexander,SF,6-8,230,December 26 1986,R,West Virginia University,MIL,2009
30,Malik Allen,PF,6-10,255,June 27 1978,7,Villanova University,MIL,2009
42,Charlie Bell,SG,6-3,200,March 12 1979,4,Michigan State University,MIL,2009
10,Keith Bogans,SG,6-5,215,May 12 1980,5,University of Kentucky,MIL,2009
6,Andrew Bogut,C,7-0,260,November 28 1984,3,University of Utah,MIL,2009
44,Austin Croshere,PF,6-9,235,May 1 1975,11,Providence College,MIL,2009
9,Francisco Elson,C,7-0,235,February 28 1976,5,University of California,MIL,2009
50,Dan Gadzuric,C,6-11,240,February 2 1978,6,University of California Los Angeles,MIL,2009
8,Eddie Gill,PG,6-0,190,August 16 1978,6,Weber State University,MIL,2009
24,Richard Jefferson,SF,6-7,233,June 21 1980,7,University of Arizona,MIL,2009
19,Damon Jones,PG,6-3,185,August 25 1976,10,University of Houston,MIL,2009
10,Tyronn Lue,PG,6-0,175,May 3 1977,10,University of Nebraska,MIL,2009
12,Luc Mbah a Moute,PF,6-8,230,September 9 1986,R,University of California Los Angeles,MIL,2009
22,Michael Redd,SG,6-6,220,August 24 1979,8,Ohio State University,MIL,2009
13,Luke Ridnour,PG,6-2,175,February 13 1981,5,University of Oregon,MIL,2009
7,Ramon Sessions,PG,6-3,190,April 11 1986,1,University of Nevada Reno,MIL,2009
31,Charlie Villanueva,PF,6-11,232,August 24 1984,3,University of Connecticut,MIL,2009
MIL,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2010
42,Charlie Bell,SG,6-3,200,March 12 1979,5,Michigan State University,MIL,2010
6,Andrew Bogut,C,7-0,260,November 28 1984,4,University of Utah,MIL,2010
9,Primoz Brezec,C,7-2,252,October 2 1979,7,,MIL,2010
10,Carlos Delfino,SF,6-6,230,August 29 1982,4,,MIL,2010
9,Francisco Elson,C,7-0,235,February 28 1976,6,University of California,MIL,2010
50,Dan Gadzuric,C,6-11,240,February 2 1978,7,University of California Los Angeles,MIL,2010
7,Ersan Ilyasova,PF,6-10,235,May 15 1987,1,,MIL,2010
11,Royal Ivey,SG,6-3,200,December 20 1981,5,University of Texas at Austin,MIL,2010
00,Darnell Jackson,PF,6-9,253,November 7 1985,1,University of Kansas,MIL,2010
3,Brandon Jennings,PG,6-1,169,September 23 1989,R,,MIL,2010
12,Luc Mbah a Moute,PF,6-8,230,September 9 1986,1,University of California Los Angeles,MIL,2010
23,Jodie Meeks,SG,6-4,208,August 21 1987,R,University of Kentucky,MIL,2010
22,Michael Redd,SG,6-6,220,August 24 1979,9,Ohio State University,MIL,2010
13,Luke Ridnour,PG,6-2,175,February 13 1981,6,University of Oregon,MIL,2010
15,John Salmons,SG,6-7,210,December 12 1979,7,University of Miami,MIL,2010
24,Jerry Stackhouse,SG,6-6,218,November 5 1974,14,University of North Carolina,MIL,2010
40,Kurt Thomas,C,6-9,230,October 4 1972,14,Texas Christian University,MIL,2010
20,Roko Ukic,PG,6-5,183,May 12 1984,1,,MIL,2010
21,Hakim Warrick,PF,6-9,219,July 8 1982,4,Syracuse University,MIL,2010
MIL,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2011
30,Earl Barron,C,7-0,250,August 14 1981,4,University of Memphis,MIL,2011
6,Andrew Bogut,C,7-0,260,November 28 1984,5,University of Utah,MIL,2011
11,Earl Boykins,PG,5-5,135,June 2 1976,11,Eastern Michigan University,MIL,2011
40,Jon Brockman,C,6-7,255,March 20 1987,1,University of Washington,MIL,2011
10,Carlos Delfino,SF,6-6,230,August 29 1982,5,,MIL,2011
55,Keyon Dooling,PG,6-3,196,May 8 1980,10,University of Missouri,MIL,2011
17,Chris Douglas-Roberts,SF,6-7,200,January 8 1987,2,University of Memphis,MIL,2011
0,Drew Gooden,PF,6-10,250,September 24 1981,8,University of Kansas,MIL,2011
7,Ersan Ilyasova,PF,6-10,235,May 15 1987,2,,MIL,2011
3,Brandon Jennings,PG,6-1,169,September 23 1989,1,,MIL,2011
5,Corey Maggette,SF,6-6,218,November 12 1979,11,Duke University,MIL,2011
12,Luc Mbah a Moute,PF,6-8,230,September 9 1986,2,University of California Los Angeles,MIL,2011
22,Michael Redd,SG,6-6,220,August 24 1979,10,Ohio State University,MIL,2011
15,John Salmons,SG,6-7,210,December 12 1979,8,University of Miami,MIL,2011
8,Larry Sanders,C,6-11,235,November 21 1988,R,Virginia Commonwealth University,MIL,2011
54,Brian Skinner,C,6-9,255,May 19 1976,12,Baylor University,MIL,2011
41,Garrett Temple,SG,6-6,195,May 8 1986,1,Louisiana State University,MIL,2011
MIL,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2012
6,Andrew Bogut,C,7-0,260,November 28 1984,6,University of Utah,MIL,2012
40,Jon Brockman,PF,6-7,255,March 20 1987,2,University of Washington,MIL,2012
10,Carlos Delfino,SF,6-6,230,August 29 1982,6,,MIL,2012
17,Mike Dunleavy,SF,6-9,230,September 15 1980,9,Duke University,MIL,2012
11,Monta Ellis,SG,6-3,185,October 26 1985,6,,MIL,2012
0,Drew Gooden,C,6-10,250,September 24 1981,9,University of Kansas,MIL,2012
15,Tobias Harris,SF,6-9,235,July 15 1992,R,University of Tennessee,MIL,2012
11,Darington Hobson,SG,6-7,210,September 29 1987,R,University of New Mexico,MIL,2012
7,Ersan Ilyasova,PF,6-10,235,May 15 1987,3,,MIL,2012
5,Stephen Jackson,SF,6-8,218,April 5 1978,11,Butler County Community College,MIL,2012
3,Brandon Jennings,PG,6-1,169,September 23 1989,2,,MIL,2012
30,Jon Leuer,PF,6-10,228,May 14 1989,R,University of Wisconsin,MIL,2012
9,Shaun Livingston,SG,6-7,182,September 11 1985,6,,MIL,2012
12,Luc Mbah a Moute,PF,6-8,230,September 9 1986,3,University of California Los Angeles,MIL,2012
8,Larry Sanders,PF,6-11,235,November 21 1988,1,Virginia Commonwealth University,MIL,2012
13,Ekpe Udoh,C,6-10,240,May 20 1987,1,Baylor University,MIL,2012
19,Beno Udrih,SG,6-3,205,July 5 1982,7,,MIL,2012
MIL,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2013
19,Gustavo Ayon,C,6-10,250,April 1 1985,1,,MIL,2013
21,Samuel Dalembert,C,6-11,255,May 10 1981,10,Seton Hall University,MIL,2013
6,Marquis Daniels,SF,6-6,200,January 7 1981,9,Auburn University,MIL,2013
17,Mike Dunleavy,SF,6-9,230,September 15 1980,10,Duke University,MIL,2013
11,Monta Ellis,SG,6-3,185,October 26 1985,7,,MIL,2013
0,Drew Gooden,C,6-10,250,September 24 1981,10,University of Kansas,MIL,2013
15,Tobias Harris,SF,6-9,235,July 15 1992,1,University of Tennessee,MIL,2013
31,John Henson,PF,6-11,229,December 28 1990,R,University of North Carolina,MIL,2013
7,Ersan Ilyasova,PF,6-10,235,May 15 1987,4,,MIL,2013
3,Brandon Jennings,PG,6-1,169,September 23 1989,3,,MIL,2013
20,Doron Lamb,SG,6-4,210,November 6 1991,R,University of Kentucky,MIL,2013
12,Luc Mbah a Moute,SF,6-8,230,September 9 1986,4,University of California Los Angeles,MIL,2013
10,Joel Przybilla,C,7-1,255,October 10 1979,12,University of Minnesota,MIL,2013
5,J.J. Redick,SG,6-4,190,June 24 1984,6,Duke University,MIL,2013
8,Larry Sanders,C,6-11,235,November 21 1988,2,Virginia Commonwealth University,MIL,2013
15,Ish Smith,PG,6-0,175,July 5 1988,2,Wake Forest University,MIL,2013
13,Ekpe Udoh,C,6-10,240,May 20 1987,2,Baylor University,MIL,2013
19,Beno Udrih,SG,6-3,205,July 5 1982,8,,MIL,2013
MIL,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2014
12,Jeff Adrien,PF,6-7,245,February 10 1986,3,University of Connecticut,MIL,2014
34,Giannis Antetokounmpo,SF,6-11,222,December 6 1994,R,,MIL,2014
3,Caron Butler,SF,6-7,228,March 13 1980,11,University of Connecticut,MIL,2014
31,John Henson,PF,6-11,229,December 28 1990,1,University of North Carolina,MIL,2014
7,Ersan Ilyasova,PF,6-10,235,May 15 1987,5,,MIL,2014
11,Brandon Knight,PG,6-3,189,December 2 1991,2,University of Kentucky,MIL,2014
00,O.J. Mayo,SG,6-5,210,November 5 1987,5,University of Southern California,MIL,2014
22,Khris Middleton,SF,6-8,234,August 12 1991,1,Texas A&amp;M University,MIL,2014
18,Tony Mitchell,SF,6-6,216,August 7 1989,R,University of Alabama,MIL,2014
12,Gary Neal,SG,6-4,210,October 3 1984,3,Towson University,MIL,2014
27,Zaza Pachulia,C,6-11,270,February 10 1984,10,,MIL,2014
9,Miroslav Raduljica,C,7-0,250,January 5 1988,R,,MIL,2014
13,Luke Ridnour,PG,6-2,175,February 13 1981,10,University of Oregon,MIL,2014
8,Larry Sanders,C,6-11,235,November 21 1988,3,Virginia Commonwealth University,MIL,2014
13,Ramon Sessions,PG,6-3,190,April 11 1986,6,University of Nevada Reno,MIL,2014
15,D.J. Stephens,SG,6-5,190,December 19 1990,R,University of Memphis,MIL,2014
5,Ekpe Udoh,PF,6-10,240,May 20 1987,3,Baylor University,MIL,2014
6,Nate Wolters,PG,6-4,190,May 15 1991,R,South Dakota State University,MIL,2014
15,Chris Wright,SF,6-8,226,September 30 1988,1,University of Dayton,MIL,2014
MIL,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2015
34,Giannis Antetokounmpo,SG,6-11,222,December 6 1994,1,,MIL,2015
19,Jerryd Bayless,PG,6-3,200,August 20 1988,6,University of Arizona,MIL,2015
5,Michael Carter-Williams,PG,6-6,190,October 10 1991,1,Syracuse University,MIL,2015
9,Jared Dudley,SG,6-7,225,July 10 1985,7,Boston College,MIL,2015
11,Tyler Ennis,PG,6-3,194,August 24 1994,R,Syracuse University,MIL,2015
13,Jorge Gutierrez,PG,6-3,191,December 27 1988,1,University of California,MIL,2015
31,John Henson,C,6-11,229,December 28 1990,2,University of North Carolina,MIL,2015
7,Ersan Ilyasova,PF,6-10,235,May 15 1987,6,,MIL,2015
23,Chris Johnson,SF,6-6,206,April 29 1990,2,University of Dayton,MIL,2015
11,Brandon Knight,PG,6-3,189,December 2 1991,3,University of Kentucky,MIL,2015
5,Kendall Marshall,PG,6-4,200,August 19 1991,2,University of North Carolina,MIL,2015
6,Kenyon Martin,PF,6-9,234,December 30 1977,14,University of Cincinnati,MIL,2015
00,O.J. Mayo,SG,6-5,210,November 5 1987,6,University of Southern California,MIL,2015
22,Khris Middleton,SF,6-8,234,August 12 1991,2,Texas A&amp;M University,MIL,2015
3,Johnny O'Bryant,PF,6-9,257,June 1 1993,R,Louisiana State University,MIL,2015
27,Zaza Pachulia,C,6-11,270,February 10 1984,11,,MIL,2015
12,Jabari Parker,SF,6-8,250,March 15 1995,R,Duke University,MIL,2015
21,Miles Plumlee,C,6-11,249,September 1 1988,2,Duke University,MIL,2015
8,Larry Sanders,C,6-11,235,November 21 1988,4,Virginia Commonwealth University,MIL,2015
6,Nate Wolters,PG,6-4,190,May 15 1991,1,South Dakota State University,MIL,2015
MIN,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIN,2005
7,Anthony Carter,PG,6-1,190,June 16 1975,5,University of Hawaii,MIN,2005
19,Sam Cassell,PG,6-3,185,November 18 1969,11,Florida State University,MIN,2005
44,Ndudi Ebi,SG,6-9,200,June 18 1984,1,,MIN,2005
21,Kevin Garnett,PF,6-11,240,May 19 1976,9,,MIN,2005
41,Eddie Griffin,PF,6-10,220,May 30 1982,2,Seton Hall University,MIN,2005
23,Trenton Hassell,SG,6-5,200,March 4 1979,3,Austin Peay State University,MIN,2005
32,Fred Hoiberg,SG,6-4,203,October 15 1972,9,Iowa State University,MIN,2005
16,Troy Hudson,PG,6-1,170,March 13 1976,7,Southern Illinois University,MIN,2005
40,Ervin Johnson,C,6-11,245,December 21 1967,11,University of New Orleans,MIN,2005
35,Mark Madsen,C,6-9,240,January 28 1976,4,Stanford University,MIN,2005
34,Michael Olowokandi,C,7-0,269,April 3 1975,6,University of the Pacific,MIN,2005
8,Latrell Sprewell,SF,6-5,190,September 8 1970,12,University of Alabama,MIN,2005
10,Wally Szczerbiak,SF,6-7,244,March 5 1977,5,Miami University,MIN,2005
12,John Thomas,C,6-9,265,September 8 1975,3,University of Minnesota,MIN,2005
MIN,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIN,2006
3,Marcus Banks,PG,6-2,200,November 19 1981,2,University of Nevada Las Vegas,MIN,2006
30,Mark Blount,C,7-0,230,November 30 1975,5,University of Pittsburgh,MIN,2006
7,Anthony Carter,PG,6-1,190,June 16 1975,6,University of Hawaii,MIN,2006
31,Ricky Davis,SF,6-6,195,September 23 1979,7,University of Iowa,MIN,2006
12,Ronald Dupree,SF,6-7,209,January 26 1981,2,Louisiana State University,MIN,2006
24,Richie Frahm,SG,6-5,210,August 14 1977,2,Gonzaga University,MIN,2006
21,Kevin Garnett,PF,6-11,240,May 19 1976,10,,MIN,2006
41,Eddie Griffin,C,6-10,220,May 30 1982,3,Seton Hall University,MIN,2006
23,Trenton Hassell,SG,6-5,200,March 4 1979,4,Austin Peay State University,MIN,2006
16,Troy Hudson,PG,6-1,170,March 13 1976,8,Southern Illinois University,MIN,2006
55,Marko Jaric,PG,6-7,198,October 12 1978,3,,MIN,2006
35,Mark Madsen,C,6-9,240,January 28 1976,5,Stanford University,MIN,2006
1,Rashad McCants,SG,6-4,207,September 25 1984,R,University of North Carolina,MIN,2006
34,Michael Olowokandi,C,7-0,269,April 3 1975,7,University of the Pacific,MIN,2006
9,Justin Reed,SF,6-8,240,January 16 1982,1,University of Mississippi,MIN,2006
10,Wally Szczerbiak,SF,6-7,244,March 5 1977,6,Miami University,MIN,2006
17,Nikoloz Tskitishvili,PF,7-0,225,April 14 1983,3,,MIN,2006
6,Bracey Wright,SG,6-3,210,July 1 1984,R,Indiana University,MIN,2006
MIN,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIN,2007
30,Mark Blount,C,7-0,230,November 30 1975,6,University of Pittsburgh,MIN,2007
31,Ricky Davis,SF,6-6,195,September 23 1979,8,University of Iowa,MIN,2007
4,Randy Foye,PG,6-4,213,September 24 1983,R,Villanova University,MIN,2007
21,Kevin Garnett,PF,6-11,240,May 19 1976,11,,MIN,2007
41,Eddie Griffin,PF,6-10,220,May 30 1982,4,Seton Hall University,MIN,2007
23,Trenton Hassell,SG,6-5,200,March 4 1979,5,Austin Peay State University,MIN,2007
16,Troy Hudson,PG,6-1,170,March 13 1976,9,Southern Illinois University,MIN,2007
13,Mike James,PG,6-2,188,June 23 1975,5,Duquesne University,MIN,2007
55,Marko Jaric,SG,6-7,198,October 12 1978,4,,MIN,2007
35,Mark Madsen,C,6-9,240,January 28 1976,6,Stanford University,MIN,2007
1,Rashad McCants,SG,6-4,207,September 25 1984,1,University of North Carolina,MIN,2007
9,Justin Reed,PF,6-8,240,January 16 1982,2,University of Mississippi,MIN,2007
5,Craig Smith,PF,6-7,250,November 10 1983,R,Boston College,MIN,2007
6,Bracey Wright,SG,6-3,210,July 1 1984,1,Indiana University,MIN,2007
MIN,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIN,2008
22,Corey Brewer,SF,6-9,186,March 5 1986,R,University of Florida,MIN,2008
7,Greg Buckner,SG,6-4,210,September 16 1976,8,Clemson University,MIN,2008
51,Michael Doleac,C,6-11,262,June 15 1977,9,University of Utah,MIN,2008
4,Randy Foye,PG,6-4,213,September 24 1983,1,Villanova University,MIN,2008
8,Ryan Gomes,PF,6-7,250,September 1 1982,2,Providence College,MIN,2008
15,Gerald Green,SF,6-7,205,January 26 1986,2,,MIN,2008
55,Marko Jaric,SG,6-7,198,October 12 1978,5,,MIN,2008
25,Al Jefferson,C,6-10,289,January 4 1985,3,,MIN,2008
35,Mark Madsen,PF,6-9,240,January 28 1976,7,Stanford University,MIN,2008
1,Rashad McCants,SG,6-4,207,September 25 1984,2,University of North Carolina,MIN,2008
42,Theo Ratliff,PF,6-10,225,April 17 1973,12,University of Wyoming,MIN,2008
32,Chris Richard,C,6-9,270,December 25 1984,R,University of Florida,MIN,2008
5,Craig Smith,PF,6-7,250,November 10 1983,1,Boston College,MIN,2008
30,Kirk Snyder,SF,6-6,225,June 5 1983,3,University of Nevada Reno,MIN,2008
3,Sebastian Telfair,PG,6-0,165,June 9 1985,3,,MIN,2008
24,Antoine Walker,PF,6-8,224,August 12 1976,11,University of Kentucky,MIN,2008
MIN,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIN,2009
52,Calvin Booth,C,6-11,230,May 7 1976,9,Pennsylvania State University,MIN,2009
22,Corey Brewer,SF,6-9,186,March 5 1986,1,University of Florida,MIN,2009
1,Bobby Brown,PG,6-2,175,September 24 1984,R,California State University Fullerton,MIN,2009
14,Brian Cardinal,PF,6-8,245,May 2 1977,8,Purdue University,MIN,2009
10,Rodney Carney,SG,6-7,205,April 15 1984,2,University of Memphis,MIN,2009
34,Jason Collins,C,7-0,255,December 2 1978,7,Stanford University,MIN,2009
4,Randy Foye,SG,6-4,213,September 24 1983,2,Villanova University,MIN,2009
8,Ryan Gomes,SF,6-7,250,September 1 1982,3,Providence College,MIN,2009
25,Al Jefferson,C,6-10,289,January 4 1985,4,,MIN,2009
42,Kevin Love,C,6-10,251,September 7 1988,R,University of California Los Angeles,MIN,2009
35,Mark Madsen,C,6-9,240,January 28 1976,8,Stanford University,MIN,2009
1,Rashad McCants,SG,6-4,207,September 25 1984,3,University of North Carolina,MIN,2009
33,Mike Miller,SF,6-8,218,February 19 1980,8,University of Florida,MIN,2009
12,Kevin Ollie,PG,6-4,195,December 27 1972,11,University of Connecticut,MIN,2009
5,Craig Smith,PF,6-7,250,November 10 1983,2,Boston College,MIN,2009
3,Sebastian Telfair,PG,6-0,165,June 9 1985,4,,MIN,2009
23,Shelden Williams,PF,6-9,250,October 21 1983,2,Duke University,MIN,2009
MIN,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIN,2010
22,Corey Brewer,SG,6-9,186,March 5 1986,2,University of Florida,MIN,2010
14,Brian Cardinal,PF,6-8,245,May 2 1977,9,Purdue University,MIN,2010
19,Wayne Ellington,SG,6-4,200,October 29 1987,R,University of North Carolina,MIN,2010
10,Jonny Flynn,PG,6-0,185,February 6 1989,R,Syracuse University,MIN,2010
8,Ryan Gomes,SF,6-7,250,September 1 1982,4,Providence College,MIN,2010
6,Jason Hart,PG,6-3,185,April 29 1978,8,Syracuse University,MIN,2010
1,Ryan Hollins,C,7-0,240,October 10 1984,3,University of California Los Angeles,MIN,2010
15,Nathan Jawai,C,6-10,280,October 10 1986,1,Midland College,MIN,2010
25,Al Jefferson,C,6-10,289,January 4 1985,5,,MIN,2010
42,Kevin Love,PF,6-10,251,September 7 1988,1,University of California Los Angeles,MIN,2010
31,Darko Milicic,C,7-0,250,June 20 1985,6,,MIN,2010
11,Sasha Pavlovic,SF,6-8,220,November 15 1983,6,,MIN,2010
4,Oleksiy Pecherov,C,7-0,232,December 8 1985,2,,MIN,2010
7,Ramon Sessions,PG,6-3,190,April 11 1986,2,University of Nevada Reno,MIN,2010
29,Alando Tucker,SF,6-6,205,February 11 1984,2,University of Wisconsin,MIN,2010
3,Damien Wilkins,SF,6-6,225,January 11 1980,5,University of Georgia,MIN,2010
MIN,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIN,2011
15,Maurice Ager,SG,6-5,202,February 9 1984,3,Michigan State University,MIN,2011
8,Michael Beasley,SF,6-9,235,January 9 1989,2,Kansas State University,MIN,2011
22,Corey Brewer,SF,6-9,186,March 5 1986,3,University of Florida,MIN,2011
19,Wayne Ellington,SG,6-4,200,October 29 1987,1,University of North Carolina,MIN,2011
10,Jonny Flynn,PG,6-0,185,February 6 1989,1,Syracuse University,MIN,2011
1,Sundiata Gaines,PG,6-1,185,April 18 1986,1,University of Georgia,MIN,2011
32,Lazar Hayward,SF,6-6,225,November 26 1986,R,Marquette University,MIN,2011
4,Wesley Johnson,SG,6-7,215,July 11 1987,R,Syracuse University,MIN,2011
41,Kosta Koufos,C,7-0,265,February 24 1989,2,Ohio State University,MIN,2011
42,Kevin Love,PF,6-10,251,September 7 1988,2,University of California Los Angeles,MIN,2011
31,Darko Milicic,C,7-0,250,June 20 1985,7,,MIN,2011
14,Nikola Pekovic,C,6-11,307,January 3 1986,R,,MIN,2011
15,Anthony Randolph,C,6-10,205,July 15 1989,2,Louisiana State University,MIN,2011
13,Luke Ridnour,PG,6-2,175,February 13 1981,7,University of Oregon,MIN,2011
3,Sebastian Telfair,PG,6-0,165,June 9 1985,6,,MIN,2011
44,Anthony Tolliver,SF,6-8,240,June 1 1985,2,Creighton University,MIN,2011
5,Martell Webster,SF,6-7,230,December 4 1986,5,,MIN,2011
MIN,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIN,2012
11,J.J. Barea,PG,6-0,185,June 26 1984,5,Northeastern University,MIN,2012
8,Michael Beasley,SF,6-9,235,January 9 1989,3,Kansas State University,MIN,2012
22,Wayne Ellington,SG,6-4,200,October 29 1987,2,University of North Carolina,MIN,2012
4,Wesley Johnson,SF,6-7,215,July 11 1987,1,Syracuse University,MIN,2012
3,Malcolm Lee,SG,6-5,200,May 22 1990,R,University of California Los Angeles,MIN,2012
42,Kevin Love,PF,6-10,251,September 7 1988,3,University of California Los Angeles,MIN,2012
31,Darko Milicic,C,7-0,250,June 20 1985,8,,MIN,2012
52,Brad Miller,C,6-11,244,April 12 1976,13,Purdue University,MIN,2012
14,Nikola Pekovic,C,6-11,307,January 3 1986,1,,MIN,2012
15,Anthony Randolph,PF,6-10,205,July 15 1989,3,Louisiana State University,MIN,2012
13,Luke Ridnour,SG,6-2,175,February 13 1981,8,University of Oregon,MIN,2012
9,Ricky Rubio,PG,6-4,194,October 21 1990,R,,MIN,2012
44,Anthony Tolliver,SF,6-8,240,June 1 1985,3,Creighton University,MIN,2012
5,Martell Webster,SF,6-7,230,December 4 1986,6,,MIN,2012
7,Derrick Williams,PF,6-8,240,May 25 1991,R,University of Arizona,MIN,2012
MIN,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIN,2013
17,Lou Amundson,PF,6-9,220,December 7 1982,6,University of Nevada Las Vegas,MIN,2013
11,J.J. Barea,PG,6-0,185,June 26 1984,6,Northeastern University,MIN,2013
10,Chase Budinger,SF,6-7,209,May 22 1988,3,University of Arizona,MIN,2013
5,Will Conroy,PG,6-2,195,December 8 1982,2,University of Washington,MIN,2013
